dialogue_id,turn_index,speaker,utterance,original_prob,intervention_features,new_prob,prob_reduction,num_features
1145,6,胡永成,先把這些人帶回去審。,0.5344541238883564,turn_index + speakers_in_dialogue,0.47441636410772114,0.0600377597806353,2
2316,0,楊雪,你別喝了。,0.5005656666402718,speakers_in_dialogue + speaker_turn_count,0.33690968948720923,0.16365597715306257,2
796,2,宋喬,我能不哭嘛我？小愛都不記得我了都。,0.5103768728270793,turn_index + speakers_in_dialogue,0.4812798340778441,0.02909703874923525,2
1494,3,古芳,她一定還沒關店吧！唉！她呀把鈔票看得太緊嘍！,0.5090930659759871,utterance_len + is_first_turn,0.3406954894161578,0.16839757655982934,2
281,9,左正鵬,親家母，20年前，你們母女倆遊覽過長城八達嶺嗎？,0.5495772356086928,turn_index + speaker_turn_count,0.3629762905628304,0.1866009450458624,2
433,3,張愛,爸你聽我說。,0.5682802912326764,turn_index + speakers_in_dialogue,0.4822588010744511,0.0860214901582253,2
110,0,魯媛,師弟——再見了——勿忘我……我們還能見面嗎？,0.5129033062749434,speakers_in_dialogue + speaker_turn_count,0.4991037008617096,0.013799605413233829,2
1474,9,王若蝶,鄺大哥，對不起啊！我的手也不知道怎麼就抖了起來。,0.5951476969557643,turn_index + speakers_in_dialogue + speaker_turn_count,0.4799234509722868,0.11522424598347752,3
1537,6,鄺野,這雨不會停！,0.5064070487905775,turn_index + speakers_in_dialogue + is_first_turn,0.41474725089312714,0.09165979789745038,3
1222,3,劉輝,不知道！,0.5655492470212251,turn_index + speakers_in_dialogue + speaker_turn_count,0.4817405776001401,0.083808669421085,3
1656,10,蔡麗芸,我以爲你會拒絕。,0.5095429830365057,turn_index + speaker_turn_count,0.44349131978383793,0.06605166325266776,2
229,1,左父,沒大礙，只覺得頭有點暈，並且脹疼得很。,0.5412121433498427,turn_index + speakers_in_dialogue + speaker_turn_count,0.4616132824737468,0.07959886087609591,3
2807,0,警察,你涉嫌經濟詐騙，請跟我們回公安局協助調查。,0.5400784200176844,utterance_len + speakers_in_dialogue,0.46566653552194565,0.07441188449573871,2
1540,16,柯婕妤,我不去。志靜，你也不要去了。你看爸不停地換着坐姿，顯然是在陌生的屋子裏很不習慣。你留下來陪陪他吧。,0.61203780692526,utterance_len + speakers_in_dialogue + is_first_turn,0.4730803550720404,0.13895745185321962,3
3667,0,白主任,怎麼不是馬軍？她就那一個孩子嘛。,0.5180381432834481,turn_index + speakers_in_dialogue + speaker_turn_count,0.388779511500557,0.1292586317828911,3
1634,3,秦延,爲什麼對他有了興趣？,0.5247480148737946,turn_index + speakers_in_dialogue,0.46876864070340263,0.055979374170392004,2
2149,7,冬曉麗,他那人，別的本事沒有，別的愛好也沒有，每天就是琢磨着整人，每天就是以整人爲樂。十足一個慼慼之輩。,0.6563578019834189,utterance_len + speakers_in_dialogue,0.3694063271104995,0.2869514748729194,2
1933,0,冬曉麗,你現在可真是大忙人了。剛到辦公室就忙得顧頭不顧腳了。,0.5903022729287435,speakers_in_dialogue + speaker_turn_count,0.43868711925315956,0.15161515367558392,2
1967,2,冬曉麗,你看你剛剛寫了一篇關於美國石油生產成本方面的文章，咱們處就上報了一個美國石油生產成本分析方面的立項研究項目。我剛從科技處回來，他們已經批了這個研究項目了。,0.6483644798050002,utterance_len + speakers_in_dialogue + speaker_turn_count,0.41392321648683444,0.23444126331816578,3
2460,3,楊雪,——合同的事你就別想了，我已經給你解決了。,0.6120937442663991,turn_index + speakers_in_dialogue,0.4716477398264311,0.14044600443996796,2
2559,4,苗苗,——你侄女的病情怎麼樣了？,0.5478942565412701,turn_index + speakers_in_dialogue,0.4895736043188992,0.05832065222237093,2
3991,0,馬軍,我們也不知道她上醫院來了。後來她從醫院出來也沒回家，我們這才知道，也不知道她上哪兒去了。,0.5596064921146118,utterance_len + speakers_in_dialogue + speaker_turn_count,0.4656665355219456,0.09393995659266619,3
3110,3,師兄,沒吃過。,0.5069533069598223,word_count + speakers_in_dialogue,0.37618920126639877,0.13076410569342356,2
696,3,宋喬,阿心，把門打開吧！,0.5679608195175048,turn_index + speakers_in_dialogue,0.48156132802768453,0.08639949148982023,2
1584,1,鄺野,《唯愛》酒店的總經理！怎麼了？,0.535105039845324,turn_index + speakers_in_dialogue + speaker_turn_count,0.495166619923913,0.039938419921411006,3
1742,5,鄺莎,哥，幹嗎？,0.5252543848385907,turn_index + speakers_in_dialogue,0.47667324870364003,0.04858113613495063,2
1061,5,陳子明,這個。,0.5543951930469122,turn_index + speakers_in_dialogue + speaker_turn_count,0.3962616527604205,0.15813354028649168,3
852,6,張愛,如果我沒失憶呢？,0.5350797518936975,turn_index + speakers_in_dialogue,0.47096109605190156,0.06411865584179594,2
250,16,劉豔,那好吧，外婆既然有這個要求，我們就成全她吧，我看還是小寶爲外婆翻譯翻譯下好些。,0.6151763205780606,utterance_len + speaker_turn_count,0.4580637511002077,0.1571125694778529,2
3421,4,通信員,進來吧。,0.5613808111491876,turn_index + speakers_in_dialogue,0.4839384729675953,0.0774423381815923,2
3322,2,趙小蘭,咱們的事兒可得保密呀，不許跟別人說。,0.5253654794701281,speakers_in_dialogue + is_first_turn,0.48884628998992363,0.036519189480204495,2
188,1,劉豔,左正鵬現在大學已經畢業了，那份通知書的背後隱藏着什麼，你知道嗎？國家恢復高考是1976年，這一年左正鵬就參加了高考。誰知他考上了湖南農大，這是當年農大發給左正鵬,0.729943462560645,utterance_len + is_early_turn,0.43128330510838253,0.2986601574522625,2
2017,3,尚潔,其實也沒什麼。隨便說幾句話罷了。,0.557825671036078,turn_index + speakers_in_dialogue,0.48660811895153744,0.07121755208454061,2
594,5,李曉,來，喝口水。,0.5029768482232815,turn_index + speakers_in_dialogue + is_first_turn,0.41139465023627264,0.09158219798700884,3
60,19,劉豔,是，是，你把我的心說的癢癢的。明年我一定也要揮戈上陣試試，否則，枉了我讀書人的十年寒窗時間。,0.5059022506690867,word_count + is_early_turn + speaker_turn_count,0.40098229649443373,0.10491995417465294,3
2881,13,老闆,不客氣。,0.557840743554095,turn_index + speakers_in_dialogue,0.4268507616438109,0.13098998191028405,2
4083,0,韓東,八萬。,0.6233929130233519,speakers_in_dialogue + is_first_turn,0.3591388274333475,0.26425408559000435,2
917,4,老闆,７塊５。,0.5613808111491876,turn_index + speakers_in_dialogue,0.4839384729675954,0.07744233818159219,2
3462,6,趙小蘭,對，查過了，沒錯，你回去吧。,0.549197537073195,turn_index + speakers_in_dialogue,0.4983949093564934,0.050802627716701576,2
